Title,Author,Date,Link
Inferring parameters of cancer evolution from sequencing and clinical data,"Nathan Lee, Ivana Bozic",2020.11.18.387837;,https://www.biorxiv.org/content/10.1101/2020.11.18.387837v2
The scaffolding protein Flot2 regulates cytoneme-based transport of Wnt3 in gastric cancer,"Daniel Routledge, Sally Rogers, Hassan Ashktorab, Toby J Phesse, Steffen Scholpp",2022.01.07.475396;,https://www.biorxiv.org/content/10.1101/2022.01.07.475396v1
Wnt/PCP signaling mediates breast cancer metastasis by promoting pro-invasive protrusion formation in collectively motile leader cells,"Kacey VanderVorst, Courtney A. Dreyer, Jason Hatakeyama, George R. R. Bell, Anastasia L. Berg, Maria Hernandez, Hyun Lee, Sean R. Collins, Kermit L. Carraway III",2022.01.07.475316;,https://www.biorxiv.org/content/10.1101/2022.01.07.475316v1
Characterization of a novel peptide mined from the Red Sea Brine Pools and modified to enhance its anticancer activity,"Youssef T. Abdou, Sheri M. Saleeb, Khaled M. A. Abdel-Raouf, Mohamed Allam, Mustafa Adel, Asma Amleh",2022.01.06.475234;,https://www.biorxiv.org/content/10.1101/2022.01.06.475234v1
Chromosome 1q amplification perturbs a ceRNA network to promote melanoma metastasis,"Xiaonan Xu, Kaizhen Wang, Olga Vera, Akanksha Verma, Olivier Elemento, Xiaoqing Yu, Florian A. Karreth",2021.11.14.468531;,https://www.biorxiv.org/content/10.1101/2021.11.14.468531v2
Cytocapsular tubes and networks function as physical superdefence freeway systems conducting conventional cancer drug pan-resistant tumor metastasis,"Tingfang Yi, Gerhard Wagner",2022.01.05.475158;,https://www.biorxiv.org/content/10.1101/2022.01.05.475158v1
LIX1 controls digestive mesenchyme-derived cell fate decision by regulating cristae organization in mitochondria,"Amandine Guérin, Claire Angebault, Sandrina Kinet, Chantal Cazevieille, Manuel Rojo, Jérémy Fauconnier, Alain Lacampagne, Arnaud Mourier, Naomi Taylor, Pascal de Santa Barbara, Sandrine Faure",2022.01.06.475258;,https://www.biorxiv.org/content/10.1101/2022.01.06.475258v1
Red blood cells protein profile is modified in breast cancer patients,"Thais Pereira-Veiga, Susana Bravo, Antonio Gómez-Tato, Celso Yáñez-Gómez, Carmen Abuín, Vanesa Varela, Juan Cueva, Patricia Palacios, Ana B. Dávila-Ibáñez, Roberto Piñeiro, Ana Vilar, María del Pilar Chantada-Vázquez, Rafael López-López, Clotilde Costa",2022.01.04.474889;,https://www.biorxiv.org/content/10.1101/2022.01.04.474889v1
Evaluation of a predictive method for the H&E-based molecular profiling of breast cancer with deep learning,"Salim Arslan, Xiusi Li, Julian Schmidt, Julius Hense, Andre Geraldes, Cher Bass, Keelan Brown, Angelica Marcia, Tim Dewhirst, Pahini Pandya, Shikha Singhal, Debapriya Mehrotra, Pandu Raharja-Liu",2022.01.04.474882;,https://www.biorxiv.org/content/10.1101/2022.01.04.474882v2
"Programmed knockout mutation of liver fluke granulin, Ov-grn-1, impedes malignant transformation during chronic opisthorchiasis","Sujittra Chaiyadet, Sirikachorn Tangkawattana, Michael J Smout, Wannaporn Ittiprasert, Victoria H. Mann, Raksawan Deenonpoe, Patpicha Arunsan, Alex Loukas, Paul J Brindley, Thewarach Laha",2021.12.10.472085;,https://www.biorxiv.org/content/10.1101/2021.12.10.472085v3
Integrin signaling is critical for myeloid-mediated support of T-cell acute lymphoblastic leukemia,"Aram Lyu, Seo Hee Nam, Ryan S. Humphrey, Tyler A. Durham, Zicheng Hu, Dhivya Arasappan, Terzah M. Horton, Lauren I. R. Ehrlich",2022.01.05.475106;,https://www.biorxiv.org/content/10.1101/2022.01.05.475106v1
Neomorphic DNA-binding enables tumor-specific therapeutic gene expression in fusion-addicted childhood sarcoma,"Tilman L. B. Hölting, Florencia Cidre-Aranaz, Dana Matzek, Bastian Popper, Severin J. Jacobi, Jing Li, Ignazio Piseddu, Bruno L. Cadilha, Stephan Ledderose, Jennifer Zwilling, Shunya Ohmura, David Anz, Annette Künkele, Frederick Klauschen, Thomas G. P. Grünewald, Maximilian M. L. Knott",2022.01.05.475061;,https://www.biorxiv.org/content/10.1101/2022.01.05.475061v1
Mutant KRAS-associated proteome is mainly controlled by exogenous factors,"Patrícia Dias Carvalho, Flávia Martins, Joana Carvalho, Maria José Oliveira, Sérgia Velho",2022.01.05.475056;,https://www.biorxiv.org/content/10.1101/2022.01.05.475056v1
PACpAInt: a deep learning approach to identify molecular subtypes of pancreatic adenocarcinoma on histology slides,"C. Saillard, F. Delecourt, B. Schmauch, O. Moindrot, M. Svrcek, A. Bardier-Dupas, J-F. Emile, M. Ayadi, V. Rebours, L. de Mestier, P. Hammel, C. Neuzillet, J-B. Bachet, J. Iovanna, N. Dusetti, Y. Blum, M. Richard, Y. Kermezli, V. Paradis, M. Zaslavskiy, P. Courtiol, A. Kamoun, R. Nicolle, J. Cros",2022.01.04.474951;,https://www.biorxiv.org/content/10.1101/2022.01.04.474951v1
Longitudinal single-cell transcriptomics reveals distinct patterns of recurrence in acute myeloid leukemia,"Yanan Zhai, Prashant Singh, Anna Dolnik, Peter Brazda, Nader Atlasy, Nunzio del Gaudio, Konstanze Döhner, Hartmut Döhner, Saverio Minucci, Joost Martens, Lucia Altucci, Wout Megchelenbrink, Lars Bullinger, Hendrik G. Stunnenberg",2022.01.04.474929;,https://www.biorxiv.org/content/10.1101/2022.01.04.474929v1
Single-cell multi-omics analyses reveal EZH2 as a main driver of retinoic acid resistance in PLZF-RARA leukemia,"M. Poplineau, N. Platet, A. Mazuel, L. Hérault, S. Koide, W. Kuribayashi, N. Carbuccia, L. N’Guyen, J. Vernerey, M. Oshima, D. Birnbaum, A. Iwama, E. Duprez",2022.01.04.474890;,https://www.biorxiv.org/content/10.1101/2022.01.04.474890v1
HMGN5 escorts oncogenic STAT3 signaling by regulating chromatin landscape in tumorigenesis of breast cancer,"Jiahui Mou, Meijun Huang, Feifei Wang, Xiaoding Xu, Hanqi Xie, Henglei Lu, Mingyang Li, Yu Li, Weiwen Kong, Jing Chen, Ying Xiao, Yiding Chen, Chaochen Wang, Jin Ren",2022.01.04.474868;,https://www.biorxiv.org/content/10.1101/2022.01.04.474868v1
Low centrosome numbers correlate with higher aggressivity in ovarian cancer,"Jean-Philippe Morretton, Anthony Simon, Aurélie Herbette, Jorge Barbazan, Carlos Pérez-González, Camille Cosson, Bassirou Mboup, Aurélien Latouche, Tatiana Popova, Yann Kieffer, Pierre Gestraud, Guillaume Bataillon, Véronique Becette, Didier Meseure, André Nicolas, Odette Mariani, Anne Vincent-Salomon, Marc-Henri Stern, Fatima Mechta-Grigoriou, Sergio Roman Roman, Danijela Matic Vignjevic, Roman Rouzier, Xavier Sastre-Garau, Oumou Goundiam, Renata Basto",623983;,https://www.biorxiv.org/content/10.1101/623983v2
Transcription Factor EB regulates phosphatidylinositol-3-phosphate levels on endomembranes and alters lysosome positioning in the bladder cancer model,"Pallavi Mathur, Camilla De Barros Santos, Hugo Lachuer, Bruno Latgé, François Radvanyi, Bruno Goud, Kristine Schauer",2020.07.10.196931;,https://www.biorxiv.org/content/10.1101/2020.07.10.196931v2
Mesenchymal tumor organoid models recapitulate rhabdomyosarcoma subtypes,"Michael T. Meister, Marian J. A. Groot Koerkamp, Terezinha de Souza, Willemijn B. Breunis, Ewa Frazer-Mendelewska, Mariël Brok, Jeff DeMartino, Freek Manders, Camilla Calandrini, Hinri H. D. Kerstens, Alex Janse, M. Emmy M. Dolman, Selma Eising, Karin P. S. Langenberg, Marc van Tuil, Rutger R. G. Knops, Sheila Terwisscha van Scheltinga, Laura S. Hiemcke-Jiwa, Uta Flucke, Johannes H. M. Merks, Max M. van Noesel, Bastiaan B. J. Tops, Jayne Y. Hehir-Kwa, Patrick Kemmeren, Jan J. Molenaar, Marc van de Wetering, Ruben van Boxtel, Jarno Drost, Frank C. P. Holstege",2022.01.03.474504;,https://www.biorxiv.org/content/10.1101/2022.01.03.474504v1
An integrated approach to protein discovery and detection from complex biofluids,"Gordon T. Luu, Chang Ge, Yisha Tang, Kailiang Li, Stephanie M. Cologna, Joanna E. Burdette, Judith Su, Laura M. Sanchez",2022.01.03.474834;,https://www.biorxiv.org/content/10.1101/2022.01.03.474834v1
An RNA-binding switch drives ribosome biogenesis and tumorigenesis downstream of RAS oncogene,"Muhammad S. Azman, Martin Dodel, Federica Capraro, Rupert Faraway, Maria Dermit, Wanling Fan, Jernej Ule, Faraz K. Mardakheh",2021.12.16.472890;,https://www.biorxiv.org/content/10.1101/2021.12.16.472890v2
BRPF3 knockdown or inhibition moderately reverses olaparib resistance in high grade serous ovarian carcinoma,"Benjamin G. Bitler, Tomomi M. Yamamoto, Alexandra McMellen, Hyunmin Kim, Zachary L. Watson",2021.12.21.473688;,https://www.biorxiv.org/content/10.1101/2021.12.21.473688v2
Serum metabolomic analysis of men on a low-carbohydrate diet for biochemically recurrent prostate cancer reveal the potential role of ketogenesis to slow tumor growth: A secondary analysis of the CAPS2 diet trial,"Jen-Tsan Chi, Pao-Hwa Lin, Vladimir Tolstikov, Lauren Howard, Emily Y. Chen, Valerie Bussberg, Bennett Greenwood, Niven R. Narain, Michael A. Kiebish, Stephen J. Freedland",2021.12.29.474437;,https://www.biorxiv.org/content/10.1101/2021.12.29.474437v1
CREBBP/EP300 acetyltransferase inhibition disrupts FOXA1-bound enhancers to inhibit the proliferation of ER+ breast cancer cells,"Archana Bommi-Reddy, Sungmi Park-Chouinard, David N. Mayhew, Esteban Terzo, Aparna Hingway, Michael J. Steinbaugh, Jonathan E. Wilson, Robert J. Sims III, Andrew R. Conery",2021.12.26.474204;,https://www.biorxiv.org/content/10.1101/2021.12.26.474204v2
Cancer metabolic subtypes and their association with molecular and clinical features,"Enrico Moiso, Paolo Provero",2021.12.16.472974;,https://www.biorxiv.org/content/10.1101/2021.12.16.472974v2
P2RX7 inhibition reduces breast cancer induced osteolytic lesions - implications for bone metastasis,"Karan M. Shah, Luke Tattersall, Aleana Hussain, Sarah C. Macfarlane, Alexander Williamson, Adelina E. Acosta-Martin, Janine T. Erler, Penelope D. Ottewell, Alison Gartland",2021.12.31.474644;,https://www.biorxiv.org/content/10.1101/2021.12.31.474644v1
VRK1 is a Paralog Synthetic Lethal Target in VRK2-methylated Glioblastoma,"Julie A. Shields, Samuel R. Meier, Madhavi Bandi, Maria Dam Ferdinez, Justin L. Engel, Erin E. Mulkearns-Hubert, Nicole Hajdari, Kelly Mitchell, Wenhai Zhang, Shan-chuan Zhao, Minjie Zhang, Robert Tjin Tham Sjin, Erik Wilker, Justin D. Lathia, Jannik N. Andersen, Yingnan Chen, Fang Li, Barbara Weber, Alan Huang, Natasha Emmanuel",2021.12.30.474571;,https://www.biorxiv.org/content/10.1101/2021.12.30.474571v1
Loss of p53 tumor suppression function drives invasion and genomic instability in models of murine pancreatic cancer,"Claudia Tonelli, Astrid Deschênes, Melissa A. Yao, Youngkyu Park, David A. Tuveson",2021.12.31.472823;,https://www.biorxiv.org/content/10.1101/2021.12.31.472823v1
Depletion of CD206+ Tumour Macrophages via a Peptide-Targeted Star-Shaped Polyglutamate Inhibits Tumourigenesis and Metastatic Dissemination in Mouse Breast Cancer Models,"Anni Lepland, Alessio Malfanti, Uku Haljasorg, Eliana K. Asciutto, Monica Pickholz, Mauro Bringas, Snežana Ðorđević, Liis Salumäe, Pärt Peterson, Tambet Teesalu, María J. Vicent, Pablo Scodeller",2021.12.29.474487;,https://www.biorxiv.org/content/10.1101/2021.12.29.474487v1
VRK1 is required in VRK2-methylated cancers of the nervous system,"Jonathan So, Nathaniel W. Mabe, Bernhard Englinger, Sydney M. Moyer, Maria C. Trissal, Joana G. Marques, Jason Kwon, Brian Shim, Eshini Panditharatna, Daeun Jeong, David Mayhew, Justin Hwang, Kimberly Stegmaier, Mariella G. Filbin, William C. Hahn",2021.12.28.474386;,https://www.biorxiv.org/content/10.1101/2021.12.28.474386v1
Assessment of chimeric antigen receptor T (CAR-T) cytotoxicity by droplet microfluidics in vitro,"Kuan Un Wong, Jingxuan Shi, Peng Li, Haitao Wang, Yanwei Jia, Chuxia Deng, Lianmei Jang, Ada Hang-Heng Wong",2021.12.28.474351;,https://www.biorxiv.org/content/10.1101/2021.12.28.474351v1
Transcription Profile And Pathway Analysis Of The Endocannabinoid Receptor Inverse Agonist AM630 In The Core And Infiltrative Boundary Of Human Glioblastoma Cells,"Gareth Williams, David Chambers, Ruman Rahman, Francisco Molina-Holgado",2021.12.29.474430;,https://www.biorxiv.org/content/10.1101/2021.12.29.474430v1
Glucocorticoid signaling delays castration-induced regression in murine models of prostate cancer,"Aerken Maolake, Renyuan Zhang, Kai Sha, Shalini Singh, Chunliu Pan, Bo Xu, Gurkamal Chatta, Michalis Mastri, Kevin H. Eng, John J. Krolewski, Kent L. Nastiuk",2021.10.11.463722;,https://www.biorxiv.org/content/10.1101/2021.10.11.463722v3
Aberrant paracrine signalling for bone remodelling underlies the mutant histone-driven giant cell tumour of bone,"Lucia Cottone, Lorena Ligammari, Helen J. Knowles, Hang-Mao Lee, Stephen Henderson, Sara Bianco, Christopher Davies, Sandra Strauss, Fernanda Amary, Ana Paula Leite, Roberto Tirabosco, Kristian Haendler, Joachim L. Schultze, Javier Herrero, Paul O’Donnell, Agamemnon E. Grigoriadis, Paolo Salomoni, Adrienne M. Flanagan",2021.12.27.474195;,https://www.biorxiv.org/content/10.1101/2021.12.27.474195v1
Biomechanical and biochemical assessment of YB-1 expression in melanoma cells,"Anna Cykowska, Ulf Krister Hofmann, Aadhya Tiwari, Corinna Kosnopfel, Rosa Riester, Marina Danalache",2021.12.29.474412;,https://www.biorxiv.org/content/10.1101/2021.12.29.474412v1
Interleukin 4 controls the role of macrophages in pulmonary metastatic tumor cell seeding and growth,"Carolina Rodriguez-Tirado, David Entenberg, Jiufeng Li, Bin-Zhi Qian, John S. Condeelis, Jeffrey W Pollard",2021.12.28.474388;,https://www.biorxiv.org/content/10.1101/2021.12.28.474388v1
"PTHrP Induces STAT5 Activation, Secretory Differentiation and Mammary Tumor Progression","Diego Y. Grinman, Kata Boras-Granic, Farzin M. Takyar, Pamela Dann, Julie R. Hens, Christina Marmol, Jongwon Lee, Jungmin Choi, Lewis A. Chodosh, Martin E. Garcia Sola, John J. Wysolmerski",2021.12.28.473846;,https://www.biorxiv.org/content/10.1101/2021.12.28.473846v1
In vitro cytokine expression analysis by droplet microfluidics,"Ada Hang-Heng Wong, Semih Can Akincilar, Joelle Chua, Dhakshayini d/o K. Chanthira Morgan, Dorcas Hei, Vinay Tergaonkar",2021.12.28.474355;,https://www.biorxiv.org/content/10.1101/2021.12.28.474355v1
Significance of Oct-4 transcription factor as a pivotal therapeutic target for CD44+/24- mammary tumour initiating cells; aiming at the root of the recurrence,"Utsav Sen, Shanooja Shanavas, Apoorva Gowda, Muhammad Nihad, Hari Krishnareddy Rachamalla, Rajkumar Banerjee, Sudheer Shenoy P, Bipasha Bose",2021.05.21.445099;,https://www.biorxiv.org/content/10.1101/2021.05.21.445099v2
"Heterogeneity, turnover rate and karyotype space shape susceptibility to missegregation-induced extinction","Gregory J. Kimmel, Richard Beck, Thomas Veith, Samuel Bakhoum, Philipp M. Altrock, Noemi Andor",2021.11.03.466486;,https://www.biorxiv.org/content/10.1101/2021.11.03.466486v2
Survival and detection of bivalve transmissible neoplasia from the soft-shell clam Mya arenaria (MarBTN) in seawater,"Rachael M. Giersch, Samuel F.M. Hart, Satyatejas G. Reddy, Marisa A. Yonemitsu, María J. Orellana Rosales, Madelyn Korn, Brook M. Geleta, Peter D. Countway, José A. Fernández Robledo, Michael J. Metzger",2021.12.25.473725;,https://www.biorxiv.org/content/10.1101/2021.12.25.473725v1
Distinct cDC subsets co-operate in CD40 agonist response while suppressive microenvironments and lack of antigens subvert efficacy,"Aleksandar Murgaski, Máté Kiss, Helena Van Damme, Daliya Kancheva, Isaure Vanmeerbeek, Jiri Keirsse, Eva Hadadi, Jan Brughmans, Sana M. Arnouk, Ahmed E. I. Hamouda, Ayla Debraekeleer, Victor Bosteels, Yvon Elkrim, Louis Boon, Sabine Hoves, Niels Vandamme, Sofie Deschoemaeker, Sophie Janssens, Abhishek D. Garg, Martina Schmittnägel, Carola H. Ries, Damya Laoui",2021.12.25.474021;,https://www.biorxiv.org/content/10.1101/2021.12.25.474021v1
Regulation of DNA damage response by trimeric G-protein Signaling,"Amer Ali Abd El-Hafeez, Nina Sun, Anirban Chakraborty, Jason Ear, Suchismita Roy, Pranavi Chamarthi, Navin Rajapakse, Soumita Das, Kathryn E. Luker, Tapas K. Hazra, Gary D. Luker, Pradipta Ghosh",2021.07.21.452842;,https://www.biorxiv.org/content/10.1101/2021.07.21.452842v3
"APOBEC mutagenesis is low in most types of non-B DNA structures, unlike other types of cancer mutagenesis","Gennady V. Ponomarev, Bulat Fatykhov, Vladimir A. Nazarov, Ruslan Abasov, Evgeny Shvarov, Nina-Vicky Landik, Alexandra A. Denisova, Almira A. Chervova, Mikhail S. Gelfand, Marat D. Kazanov",2021.10.12.464135;,https://www.biorxiv.org/content/10.1101/2021.10.12.464135v2
Systemic influences of mammary cancer on monocytes in mice,"A Robinson, M Burgess, S Webb, PA Louwe, Z Ouyang, D Skola, CZ Han, NN Batada, V González-Huici, L Cassetta, CK Glass, SJ Jenkins, JW Pollard",2021.12.24.474104;,https://www.biorxiv.org/content/10.1101/2021.12.24.474104v1
Anticancer immunotherapies transition postcapillary venules into high-endothelial venules that generate TCF1+ T lymphocyte niches through a feed-forward loop,"Yichao Hua, Gerlanda Vella, Florian Rambow, Elizabeth Allen, Asier Antoranz Martinez, Marie Duhamel, Steffie Junius, Ann Smeets, David Nittner, Damya Laoui, Stefanie Dimmeler, Thomas Hehlgans, Adrian Liston, Guiseppe Floris, Diether Lambrechts, Pascal Merchiers, Francesca Maria Bosisio, Jean-Christophe Marine, Susan Schlenner, Gabriele Bergers",2021.12.24.474088;,https://www.biorxiv.org/content/10.1101/2021.12.24.474088v1
Conserved angio-immune subtypes of the cancer microenvironment predict response to immune checkpoint blockade therapy,"Madhav Subramanian, Ashraf Ul Kabir, Derek A.G. Barisas, Karen Krchma, Kyunghee Choi",2021.12.23.470799;,https://www.biorxiv.org/content/10.1101/2021.12.23.470799v1
Cell Geometry Distinguishes Migration-Associated Heterogeneity in Two-Dimensional Systems,"Sagar S Varankar, Kishore Hari, Sharmila A Bapat, Mohit Kumar Jolly",2021.12.22.473305;,https://www.biorxiv.org/content/10.1101/2021.12.22.473305v1
Reciprocal interactions between the gut microbiome and mammary tissue mast cells promote metastatic dissemination of HR+ breast tumors,"Tzu-Yu Feng, Francesca N. Azar, Claire Buchta Rosean, Mitchell T. McGinty, Audrey M. Putelo, Sree Koli, Natascia Marino, Rana German, Ram Podicheti, Sally A. Dreger, Wesley J. Fowler, Stephanie Greenfield, Stephen D. Robinson, Melanie R. Rutkowski",2021.12.23.474065;,https://www.biorxiv.org/content/10.1101/2021.12.23.474065v1
Neural stemness unifies cell tumorigenicity and pluripotent differentiation potential,"Min Zhang, Yang Liu, Lihua Shi, Lei Fang, Liyang Xu, Ying Cao",2021.12.23.474069;,https://www.biorxiv.org/content/10.1101/2021.12.23.474069v1
Multi-omics Topic Modeling for Breast Cancer Classification,"Filippo Valle, Matteo Osella, Michele Caselle",2021.12.22.473851;,https://www.biorxiv.org/content/10.1101/2021.12.22.473851v1
Transcriptomic Profiling Reveals Cancer-Associated Fibroblasts as Potential Targets for the Prognosis and Treatment of Cervical Squamous Cell Carcinoma,"Zhihua Ou, Shitong Lin, Jiaying Qiu, Wencheng Ding, Peidi Ren, Dongsheng Chen, Jiaxuan Wang, Yihan Tong, Di Wu, Ao Chen, Yuan Deng, Mengnan Cheng, Ting Peng, Haorong Lu, Huanming Yang, Jian Wang, Xin Jin, Ding Ma, Xun Xu, Yanzhou Wang, Junhua Li, Peng Wu",2021.12.23.473944;,https://www.biorxiv.org/content/10.1101/2021.12.23.473944v1
Activation of retinoic acid receptor reduces metastatic prostate cancer bone lesions through blocking endothelial-to-osteoblast transition,"Guoyu Yu, Paul G. Corn, Pengfei Shen, Jian H. Song, Yu-Chen Lee, Song-Chang Lin, Jing Pan, Sandeep K. Agarwal, Theocharis Panaretakis, Maurizio Pacifici, Christopher J. Logothetis, Li-Yuan Yu-Lee, Sue-Hwa Lin",2021.12.22.473739;,https://www.biorxiv.org/content/10.1101/2021.12.22.473739v1
De novo serine biosynthesis from glucose predicts sex-specific response to antifolates in non-small cell lung cancer cell lines,"Jasmin Sponagel, Siddhartha Devarakonda, Joshua B. Rubin, Jingqin Luo, Joseph E. Ippolito",2021.12.22.473923;,https://www.biorxiv.org/content/10.1101/2021.12.22.473923v1
Comparative oncology reveals DNMT3B as a molecular vulnerability in soft-tissue sarcoma,"Ashley M. Fuller, Ann DeVine, Ileana Murazzi, Nicola J. Mason, Kristy Weber, T. S. Karin Eisinger-Mathason",2021.12.22.473852;,https://www.biorxiv.org/content/10.1101/2021.12.22.473852v1
Long-term non-invasive drug treatments for adult zebrafish,"Yuting Lu, E. Elizabeth Patton",2021.12.21.473492;,https://www.biorxiv.org/content/10.1101/2021.12.21.473492v1
SerpinB3 drives cancer stem cell survival in glioblastoma,"Adam Lauko, Josephine Volovetz, Soumya M. Turaga, Defne Bayik, Daniel J. Silver, Kelly Mitchell, Erin E. Mulkearns-Hubert, Dionysios C. Watson, Kiran Desai, Manav Midha, Jing Hao, Kathleen McCortney, Alicia Steffens, Ulhas Naik, Manmeet S. Ahluwalia, Shideng Bao, Craig Horbinski, Jennifer Yu, Justin D. Lathia",2021.12.21.473663;,https://www.biorxiv.org/content/10.1101/2021.12.21.473663v1
Recurrence of cancer cell states across diverse tumors and their interactions with the microenvironment,"Dalia Barkley, Reuben Moncada, Maayan Pour, Deborah A. Liberman, Ian Dryg, Gregor Werba, Wei Wang, Maayan Baron, Anjali Rao, Bo Xia, Gustavo S. França, Alejandro Weil, Deborah F. Delair, Cristina Hajdu, Amanda W. Lund, Iman Osman, Itai Yanai",2021.12.20.473565;,https://www.biorxiv.org/content/10.1101/2021.12.20.473565v1
Electrical activity between skin cells regulates melanoma initiation,"Mohita Tagore, Emiliano Hergenreder, Shruthy Suresh, Maayan Baron, Sarah C. Perlee, Stephanie Melendez, Travis J. Hollmann, Trey Ideker, Lorenz Studer, Richard M. White",2021.12.19.473393;,https://www.biorxiv.org/content/10.1101/2021.12.19.473393v1
"BESFA: Bioinformatics based Evolutionary, Structural & Functional Analysis of Prostrate, Placenta, Ovary, Testis, and Embryo (POTE) Paralogs","Sahar Qazi, Bimal Prasad Jit, Abhishek Das, Muthukumarasamy Karthikeyan, Amit Saxena, M.D Ray, Angel Rajan Singh, Khalid Raza, B. Jayaram, Ashok Sharma",2021.12.20.473416;,https://www.biorxiv.org/content/10.1101/2021.12.20.473416v1
Urine and Fecal Microbiota in a Canine Model of Bladder Cancer,"Ryan Mrofchak, Christopher Madden, Morgan V. Evans, William C. Kisseberth, Deepika Dhawan, Deborah W. Knapp, Vanessa L. Hale",2021.12.20.472715;,https://www.biorxiv.org/content/10.1101/2021.12.20.472715v1
